Month,Title,Author,Publisher,Publish_Date,Category
9,빛이 이끄는 곳으로,백희성,북로망스,2024.08.21,일반
9,영원한 천국,정유정,은행나무,2024.08.28,일반
9,이중 하나는 거짓말,김애란,문학동네,2024.08.27,일반
9,모순,양귀자,쓰다,2013.04.01,일반
9,면도날,서머싯 몸,민음사,2009.06.30,일반
9,당신이 누군가를 죽였다,히가시노 게이고,북다,2024.07.23,mystery
9,백설공주에게 죽음을,넬레 노이하우스,북로드,2024.05.24,mystery
9,푸른 들판을 걷다,클레어 키건,다산책방,2024.08.16,일반
9,데미안,헤르만 헤세,민음사,2009.01.20,일반
9,리틀 라이프 1,한야 야나기하라,시공사,2016.06.16,일반
9,파친코 1,이민진,인플루엔셜,2022.08.05,일반
9,세상의 마지막 기차역(리커버 에디션),무라세 다케시,모모,2022.05.09,fantasy
9,싯다르타,헤르만 헤세,민음사,2002.01.20,일반
9,파친코 2,이민진,인플루엔셜,2022.08.25,일반
9,홍학의 자리,정해연,엘릭시르,2021.07.26,일반
9,급류,정대건,민음사,2022.12.22,일반
9,인간 실격,다자이 오사무,민음사,2012.04.10,일반
9,구의 증명,최진영,은행나무,2023.04.26,일반
9,우리에게 남은 시간 46일,이설,하이스트,2024.01.29,일반
9,리틀 라이프 2,한야 야나기하라,시공사,2016.06.16,일반
9,흐르는 강물처럼,셸리 리드,다산책방,2024.01.08,일반
9,참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,2018.06.20,일반
9,불편한 편의점(벚꽃 에디션),김호연,나무옆의자,2021.04.20,일반
9,이방인,알베르 카뮈,민음사,2019.09.02,일반
9,나는 소망한다 내게 금지된 것을,양귀자,쓰다,2019.04.20,일반
9,아이가 없는 집,알렉스 안도릴,필름(Feelm),2024.06.12,mystery
9,이처럼 사소한 것들,클레어 키건,다산책방,2023.11.27,일반
9,달과 6펜스,서머싯 몸,민음사,2000.06.20,일반
9,우연은 비켜 가지 않는다,줄리언 반스,다산책방,2024.09.02,일반
9,파과,구병모,위즈덤하우스,2018.04.16,일반
9,두 사람의 인터내셔널,김기태,문학동네,2024.05.15,일반
9,1984,조지 오웰,민음사,2007.03.30,일반
9,삼체 1: 삼체문제,류츠신,자음과모음,2022.02.15,일반
9,완전한 행복,정유정,은행나무,2021.06.08,일반
9,어린 왕자(오리지널 초판본)(무선),앙투안 드 생텍쥐페리,코너스톤,2020.09.22,일반
9,노르웨이의 숲,무라카미 하루키,민음사,2017.08.07,일반
9,데뷔 못 하면 죽는 병 걸림 3부 초판 한정 굿즈박스 세트,백덕수,위시북스,2024.12.08,fantasy
9,헬로 뷰티풀,앤 나폴리타노,복복서가,2024.08.27,일반
9,용의자 X의 헌신,히가시노 게이고,재인,2017.08.30,mystery
9,사랑 후에 오는 것들 세트,공지영 외,소담출판사,2024.08.15,romance
9,채식주의자,한강,창비,2022.03.28,일반
9,철도원 삼대,황석영,창비,2020.06.05,일반
9,브람스를 좋아하세요,프랑수아즈 사강,민음사,2008.05.02,일반
9,대온실 수리 보고서,김금희,창비,2024.10.04,일반
9,맡겨진 소녀,클레어 키건,다산책방,2023.04.21,일반
9,종의 기원,정유정,은행나무,2016.05.16,일반
9,왜 나는 너를 사랑하는가(70만 부 기념 리커버),알랭 드 보통,청미래,2022.11.10,일반
9,프로젝트 헤일메리(리커버:K),앤디 위어,알에이치코리아,2024.06.30,sf
9,나의 눈부신 친구,엘레나 페란테,한길사,2016.07.07,일반
9,가연물,요네자와 호노부,리드비,2024.08.28,mystery
9,음악소설집,김애란 외,프란츠,2024.07.01,일반
9,소설 보다: 가을 2024,권희진 외,문학과지성사,2024.09.09,일반
9,나의 돈키호테,김호연,나무옆의자,2024.04.25,일반
9,불편한 편의점 2(단풍 에디션),김호연,나무옆의자,2022.08.10,일반
9,악의,히가시노 게이고,현대문학,2019.07.25,일반
9,아주 희미한 빛으로도,최은영,문학동네,2023.08.07,일반
9,노인과 바다,어니스트 헤밍웨이,민음사,2012.01.02,일반
9,이반 일리치의 죽음,레프 톨스토이,민음사,2023.12.08,일반
9,소년이 온다,한강,창비,2014.05.19,일반
9,대도시의 사랑법,박상영,창비,2019.06.28,일반
9,천 개의 파랑,천선란,허블,2020.08.19,sf
9,밝은 밤,최은영,문학동네,2021.07.27,일반
9,동물농장,조지 오웰,민음사,2009.01.07,일반
9,회색 인간,김동식,요다,2017.12.27,일반
9,카스트라토: 거세당한 자,표창원,&(앤드),2024.09.15,mystery
9,탕비실,이미예,한끼,2024.07.10,일반
9,지구별 인간,무라타 사야카,김영사,2022.09.15,일반
9,이효석문학상 수상작품집 2024,손보미 외,북다,2024.08.23,일반
9,사랑과 결함,예소연,문학동네,2024.07.26,일반
9,멋진 신세계,올더스 헉슬리,소담출판사,2015.06.12,일반
9,귀신들의 땅,천쓰홍,민음사,2023.12.29,일반
9,남은 인생 10년,고사카 루카,모모,2024.03.22,romance
9,삼체 1~3 세트,류츠신,자음과모음,2024.06.07,sf
9,포스 윙,레베카 야로스,북폴리오,2024.06.24,일반
9,마녀와의 7일,히가시노 게이고,현대문학,2024.06.25,일반
9,도시와 그 불확실한 벽,무라카미 하루키,문학동네,2023.09.06,일반
9,우리가 겨울을 지나온 방식,문미순,나무옆의자,2023.05.09,일반
9,한국이 싫어서,장강명,민음사,2015.05.08,일반
9,메리골드 마음 세탁소(30만 부 기념 한정 플라워 에디션),윤정은,북로망스,2023.03.06,일반
9,삼체 2: 암흑의 숲,류츠신,자음과모음,2022.02.15,일반
9,지구 끝의 온실,김초엽,자이언트북스,2021.08.18,sf
9,우리가 빛의 속도로 갈 수 없다면,김초엽,허블,2019.06.24,sf
9,호밀밭의 파수꾼,제롬 데이비드 샐린저,민음사,2023.01.17,일반
9,"칵테일, 러브, 좀비 (리커버)",조예은,안전가옥,2023.01.25,mystery
9,괴테와의 대화 1,요한 페터 에커만,민음사,2008.05.02,일반
9,달러구트 꿈 백화점,이미예,팩토리나인,2020.07.08,fantasy
9,"낭만 수의사, 희망을 처방합니다",린리신,모모,2024.09.26,일반
9,가재가 노래하는 곳,델리아 오언스,살림,2019.06.21,일반
9,카지노,김진명,새움,2022.12.13,mystery
9,시지프 신화,알베르 카뮈,민음사,2016.06.17,일반
9,1984(오리지널 초판본 표지 디자인),조지 오웰,코너스톤,2020.06.30,일반
9,해리 포터와 마법사의 돌 1(해리포터 20주년 개정판),J. K. 롤링,문학수첩,2019.11.19,fantasy
9,수레바퀴 아래서: 오리지널 초판본 표지디자인,김선형,코너스톤,2016.06.10,일반
9,빛과 멜로디,조해진,문학동네,2024.08.30,일반
9,아가미,구병모,위즈덤하우스,2018.03.30,일반
9,스토너,존 윌리엄스,알에이치코리아,2015.01.02,일반
9,아버지의 해방일지,정지아,창비,2022.09.02,일반
9,죄와 벌 1,도스토예프스키,민음사,2012.03.30,일반
9,비행운,김애란,문학과지성사,2012.07.19,일반
9,어린 왕자,앙투안 드 생택쥐페리,열린책들,2015.10.20,일반
