Month,순위,제목,저자,출판사,판매지수,출판 년월,Genre
5,80,가면산장 살인사건,히가시노 게이고,재인,"판매지수 16,269",2014년 09월,Mystery
5,81,전지적 독자 시점 PART 1 - 05,싱숑,비채,"판매지수 13,602",2022년 01월,Fantasy
5,82,해리 포터 마법 연감,J.K. 롤링,문학수첩,"판매지수 12,876",2023년 12월,Fantasy
5,83,"고양이 식당, 행복을 요리합니다",다카하시 유타,빈페이지,"판매지수 8,571",2023년 05월,Fantasy
5,84,꿀벌의 예언 2,베르나르 베르베르,열린책들,"판매지수 13,176",2023년 06월,SF
5,85,트로피컬 나이트,조예은,한겨레출판,"판매지수 20,289",2022년 08월,Mystery
5,86,해리포터 1~4부 세트,J.K. 롤링,문학수첩,"판매지수 10,554",2019년 11월,Fantasy
5,87,뉴욕 3부작,폴 오스터,열린책들,"판매지수 1,686",2009년 11월,Mystery
5,88,룬의 아이들 - 블러디드 6,전민희,엘릭시르,"판매지수 5,022",2023년 09월,Fantasy
5,89,너의 췌장을 먹고 싶어 (일반판),스미노 요루,소미미디어,"판매지수 11,436",2017년 04월,Romance
5,90,이웃집 소시오패스의 사정,조예은,&(앤드),"판매지수 4,410",2024년 04월,Mystery
5,91,꿀벌의 예언 1,베르나르 베르베르,열린책들,"판매지수 13,170",2023년 06월,SF
5,92,해피엔딩에서 너를 기다릴게,산다 치에,알에이치코리아(RHK),"판매지수 13,239",2023년 01월,Romance
5,93,"나는 내일, 어제의 너와 만난다",나나츠키 타카후미,영상출판미디어,"판매지수 10,890",2016년 02월,Romance
5,94,곰탕 1,김영탁,arte(아르테),"판매지수 8,796",2018년 03월,Mystery
5,95,[예스리커버] 트로피컬 나이트,조예은,한겨레출판,"판매지수 10,269",2023년 08월,Mystery
5,96,족쇄 : 두 남매 이야기,전혜진,고즈넉이엔티,"판매지수 1,314",2024년 05월,Mystery
5,97,코너스톤 셜록 홈즈 전집,아서 코난 도일,코너스톤(도서),"판매지수 17,406",2016년 01월,Mystery
5,98,[예스리커버] 셜록 홈즈 전집 세트,아서 코난 도일,문예춘추사,"판매지수 5,484",2022년 05월,Mystery
5,99,"보지 못하는 너에게, 보이지 않는 내가",니노마에 아키라,모모,"판매지수 4,374",2024년 04월,Romance
5,100,청혼,배명훈,북하우스,"판매지수 2,808",2024년 04월,SF
6,1,아이가 없는 집,알렉스 안도릴,필름,"판매지수 43,044",2024년 06월,Mystery
6,2,내일의 으뜸,김빵,다향,"판매지수 57,792",2024년 05월,Fantasy
6,3,삼체 1~3 세트,류츠신,자음과모음,"판매지수 112,236",2024년 06월,SF
6,4,세상의 마지막 기차역,무라세 다케시,모모,"판매지수 133,161",2022년 05월,Fantasy
6,5,룬의 아이들 - 블러디드 7,전민희,엘릭시르,"판매지수 16,452",2024년 05월,Fantasy
6,6,당신을 기다리고 있어,김보영,새파란상상 (파란미디어),"판매지수 11,112",2020년 05월,SF
6,7,프로젝트 헤일메리,앤디 위어,알에이치코리아(RHK),"판매지수 60,555",2021년 05월,SF
6,8,해리포터와 마법사의 돌 1,J.K. 롤링,문학수첩,"판매지수 35,988",2019년 11월,Fantasy
6,9,달러구트 꿈 백화점,이미예,팩토리나인,"판매지수 59,394",2020년 07월,Fantasy
6,10,지구 끝의 온실,김초엽,자이언트북스,"판매지수 57,006",2021년 08월,SF
6,11,천 개의 파랑,천선란,허블,"판매지수 55,245",2020년 08월,SF
6,12,"칵테일, 러브, 좀비",조예은,안전가옥,"판매지수 48,930",2020년 04월,Mystery
6,13,해리포터와 마법사의 돌 2,J.K. 롤링,문학수첩,"판매지수 30,108",2019년 11월,Fantasy
6,14,셰이커,이희영,래빗홀,"판매지수 22,065",2024년 05월,Fantasy
6,15,[예스리커버] 우리가 빛의 속도로 갈 수 없다면,김초엽,허블,"판매지수 53,538",2019년 06월,SF
6,16,남은 인생 10년,고사카 루카,모모,"판매지수 29,397",2024년 03월,Romance
6,17,달러구트 꿈 백화점 2,이미예,팩토리나인,"판매지수 40,743",2021년 07월,Fantasy
6,18,은랑전,켄 리우,황금가지,"판매지수 4,008",2024년 06월,SF
6,19,2024 제7회 한국과학문학상 수상작품집,장민,허블,"판매지수 4,032",2024년 05월,SF
6,20,용의자 X의 헌신,히가시노 게이고,재인,"판매지수 48,414",2017년 08월,Mystery
6,21,용의자들,정해연,위즈덤하우스,"판매지수 8,340",2024년 05월,Mystery
6,22,미 비포 유,조조 모예스,다산책방,"판매지수 13,452",2024년 04월,Romance
6,23,잘못된 장소 잘못된 시간,질리언 매캘리스터,시옷북스,"판매지수 29,916",2023년 07월,Mystery
6,24,해리포터와 비밀의 방 1,J.K. 롤링,문학수첩,"판매지수 19,068",2019년 11월,Fantasy
6,25,기억서점,송유정,놀,"판매지수 7,227",2024년 05월,Fantasy
6,26,전지적 독자 시점 아트북 에디션 세트 2,싱숑,비채,"판매지수 6,906",2024년 05월,Fantasy
6,27,메리골드 마음 사진관,윤정은,북로망스,"판매지수 58,089",2024년 01월,Fantasy
6,28,악의,히가시노 게이고,현대문학,"판매지수 30,816",2019년 07월,Mystery
6,29,해리포터와 비밀의 방 2,J.K. 롤링,문학수첩,"판매지수 17,712",2019년 11월,Fantasy
6,30,히든 픽처스,제이슨 르쿨락,문학수첩,"판매지수 25,368",2024년 05월,Mystery
6,31,"오늘 밤, 거짓말의 세계에서 잊을 수 없는 사랑을",이치조 미사키,모모,"판매지수 28,656",2023년 11월,Romance
6,32,활자잔혹극,루스 렌들,북스피어,"판매지수 7,092",2024년 06월,Mystery
6,33,저주토끼,정보라,래빗홀,"판매지수 25,566",2023년 04월,SF
6,34,해리 포터와 마법사의 돌 : 미나리마 에디션,J.K. 롤링,문학수첩,"판매지수 19,407",2020년 10월,Fantasy
6,35,수상한 한의원,배명은,텍스티(TXTY),"판매지수 35,157",2024년 01월,Fantasy
6,36,그리고 아무도 없었다,애거사 크리스티,황금가지,"판매지수 24,378",2013년 12월,Mystery
6,37,눈에 갇힌 외딴 산장에서,히가시노 게이고,재인,"판매지수 19,443",2023년 07월,Mystery
6,38,재와 물거품,김청귤,안전가옥,"판매지수 18,366",2021년 05월,Fantasy
6,39,당신에게 가고 있어,김보영,새파란상상 (파란미디어),"판매지수 4,920",2020년 05월,SF
6,40,가면산장 살인사건,히가시노 게이고,재인,"판매지수 16,269",2014년 09월,Mystery
6,41,"고양이 식당, 추억을 요리합니다",다카하시 유타,빈페이지,"판매지수 11,820",2023년 05월,Fantasy
6,42,나와 너의 365일,유이하,모모,"판매지수 17,976",2023년 03월,Romance
6,43,심판,베르나르 베르베르,열린책들,"판매지수 17,298",2020년 08월,SF
6,44,트로피컬 나이트,조예은,한겨레출판,"판매지수 20,289",2022년 08월,Mystery
6,45,해리포터와 아즈카반의 죄수 1,J.K. 롤링,문학수첩,"판매지수 13,632",2019년 11월,Fantasy
6,46,금단의 마술,히가시노 게이고,재인,"판매지수 22,164",2024년 02월,Mystery
6,47,해리포터와 아즈카반의 죄수 2,J.K. 롤링,문학수첩,"판매지수 13,218",2019년 11월,Fantasy
6,48,듄 신장판 전집 세트,프랭크 허버트,황금가지,"판매지수 28,932",2021년 01월,SF
6,49,마션,앤디 위어,알에이치코리아(RHK),"판매지수 13,500",2021년 05월,SF
6,50,해리포터와 불의 잔 1,J.K. 롤링,문학수첩,"판매지수 12,006",2019년 11월,Fantasy
6,51,프리즈너,B. A. 패리스,모모,"판매지수 3,522",2024년 06월,Horror
6,52,해리 포터와 아즈카반의 죄수 : 미나리마 에디션,J.K. 롤링,문학수첩,"판매지수 21,231",2023년 10월,Fantasy
6,53,전지적 독자 시점 PART 5 - 02,싱숑,비채,"판매지수 15,792",2023년 09월,Fantasy
6,54,종이 동물원,켄 리우,황금가지,"판매지수 7,821",2018년 11월,SF
6,55,전지적 독자 시점 PART 2 - 03,싱숑,비채,"판매지수 15,672",2023년 01월,Fantasy
6,56,해리포터와 불의 잔 2,J.K. 롤링,문학수첩,"판매지수 11,706",2019년 11월,Fantasy
6,57,블랙 쇼맨과 운명의 바퀴,히가시노 게이고,알에이치코리아(RHK),"판매지수 24,054",2024년 03월,Mystery
6,58,전지적 독자 시점 PART 1 - 01,싱숑,비채,"판매지수 19,179",2022년 01월,Fantasy
6,59,러브 어페어 1~4 세트,이유진,파란 (파란미디어),"판매지수 3,306",2024년 07월,Romance
6,60,노트북,니콜라스 스파크스,모모,"판매지수 13,983",2024년 05월,Romance
6,61,말하고 싶은 비밀,사쿠라 이이요,모모,"판매지수 37,827",2023년 12월,Romance
6,62,전지적 독자 시점 PART 5 - 01,싱숑,비채,"판매지수 15,396",2023년 09월,Fantasy
6,63,전지적 독자 시점 PART 4 - 02,싱숑,비채,"판매지수 15,126",2023년 09월,Fantasy
6,64,전지적 독자 시점 PART 2 - 02,싱숑,비채,"판매지수 15,576",2023년 01월,Fantasy
6,65,직장 상사 악령 퇴치부,이사구,황금가지,"판매지수 9,078",2024년 02월,Mystery
6,66,21세기 마지막 첫사랑,김빵,자이언트북스,"판매지수 3,540",2024년 05월,Romance
6,67,전지적 독자 시점 PART 4 - 03,싱숑,비채,"판매지수 15,024",2023년 09월,Fantasy
6,68,전지적 독자 시점 PART 3 - 01,싱숑,비채,"판매지수 15,684",2023년 01월,Fantasy
6,69,전지적 독자 시점 PART 1 - 05,싱숑,비채,"판매지수 13,602",2022년 01월,Fantasy
6,70,게스트,B. A. 패리스,모모,"판매지수 3,054",2024년 06월,Horror
6,71,전지적 독자 시점 PART 4 - 04,싱숑,비채,"판매지수 15,084",2023년 09월,Fantasy
6,72,"고양이 식당, 행복을 요리합니다",다카하시 유타,빈페이지,"판매지수 8,571",2023년 05월,Fantasy
6,73,전지적 독자 시점 PART 3 - 02,싱숑,비채,"판매지수 15,498",2023년 01월,Fantasy
6,74,전지적 독자 시점 PART 2 - 01,싱숑,비채,"판매지수 15,270",2023년 01월,Fantasy
6,75,당신 인생의 이야기,테드 창,엘리,"판매지수 19,269",2016년 10월,SF
6,76,첫사랑의 침공,권혁일,안전가옥,"판매지수 6,138",2024년 06월,SF
6,77,라플라스의 마녀,히가시노 게이고,현대문학,"판매지수 18,531",2016년 01월,Mystery
6,78,전지적 독자 시점 PART 4 - 01,싱숑,비채,"판매지수 14,712",2023년 09월,Fantasy
6,79,카지노,김진명,새움,"판매지수 20,130",2022년 12월,Mystery
6,80,전지적 독자 시점 PART 1 - 04,싱숑,비채,"판매지수 14,394",2022년 01월,Fantasy
6,81,해리포터와 불의 잔 3,J.K. 롤링,문학수첩,"판매지수 10,986",2019년 11월,Fantasy
6,82,[예스리커버] 『당신 인생의 이야기』 + 『숨』 리커버 세트,테드 창,엘리,"판매지수 7,146",2024년 04월,SF
6,83,전지적 독자 시점 PART 3 - 03,싱숑,비채,"판매지수 15,090",2023년 01월,Fantasy
6,84,전지적 독자 시점 PART 1 - 06,싱숑,비채,"판매지수 13,866",2022년 01월,Fantasy
6,85,전지적 독자 시점 PART 1 - 02,싱숑,비채,"판매지수 16,500",2022년 01월,Fantasy
6,86,해리포터 5~7부 세트,J.K. 롤링,문학수첩,"판매지수 12,558",2020년 02월,Fantasy
6,87,전지적 독자 시점 PART 1 - 03,싱숑,비채,"판매지수 15,264",2022년 01월,Fantasy
6,88,해리포터와 불의 잔 4,J.K. 롤링,문학수첩,"판매지수 10,890",2019년 11월,Fantasy
6,89,너는 달밤에 빛나고,사노 테츠야,디앤씨미디어(D&C미디어),"판매지수 9,828",2018년 04월,Romance
6,90,코너스톤 셜록 홈즈 전집,아서 코난 도일,코너스톤(도서),"판매지수 17,406",2016년 01월,Mystery
6,91,전지적 독자 시점 PART 1 - 07,싱숑,비채,"판매지수 13,566",2022년 01월,Fantasy
6,92,퐁 카페의 마음 배달 고양이,시메노 나기,놀,"판매지수 4,260",2024년 05월,Fantasy
6,93,해리포터 1~4부 세트,J.K. 롤링,문학수첩,"판매지수 10,554",2019년 11월,Fantasy
6,94,꿀벌의 예언 2,베르나르 베르베르,열린책들,"판매지수 13,176",2023년 06월,SF
6,95,꿀벌의 예언 1,베르나르 베르베르,열린책들,"판매지수 13,170",2023년 06월,SF
6,96,전지적 독자 시점 PART 1 - 08,싱숑,비채,"판매지수 14,304",2022년 01월,Fantasy
6,97,"나는 내일, 어제의 너와 만난다",나나츠키 타카후미,영상출판미디어,"판매지수 10,890",2016년 02월,Romance
6,98,"보지 못하는 너에게, 보이지 않는 내가",니노마에 아키라,모모,"판매지수 4,374",2024년 04월,Romance
6,99,어떤 물질의 사랑,천선란,아작,"판매지수 7,071",2020년 07월,SF
6,100,해피엔딩에서 너를 기다릴게,산다 치에,알에이치코리아(RHK),"판매지수 13,239",2023년 01월,Romance
7,1,언젠가 우리가 같은 별을 바라본다면,차인표,해결책,"판매지수 361,692",2021년 12월,History
7,2,당신이 누군가를 죽였다,히가시노 게이고,북다,"판매지수 139,488",2024년 07월,Mystery
7,3,아이가 없는 집,알렉스 안도릴,필름,"판매지수 43,044",2024년 06월,Mystery
7,4,세상의 마지막 기차역,무라세 다케시,모모,"판매지수 133,161",2022년 05월,Fantasy
7,5,적산가옥의 유령,조예은,현대문학,"판매지수 12,330",2024년 06월,Mystery
7,6,달러구트 꿈 백화점,이미예,팩토리나인,"판매지수 59,394",2020년 07월,Fantasy
7,7,지구 끝의 온실,김초엽,자이언트북스,"판매지수 57,006",2021년 08월,SF
7,8,삼체 1~3 세트,류츠신,자음과모음,"판매지수 112,236",2024년 06월,SF
7,9,용의자 X의 헌신,히가시노 게이고,재인,"판매지수 48,414",2017년 08월,Mystery
7,10,"칵테일, 러브, 좀비",조예은,안전가옥,"판매지수 48,930",2020년 04월,Mystery
7,11,천 개의 파랑,천선란,허블,"판매지수 55,245",2020년 08월,SF
7,12,해리포터와 마법사의 돌 1,J.K. 롤링,문학수첩,"판매지수 35,988",2019년 11월,Fantasy
7,13,프로젝트 헤일메리,앤디 위어,알에이치코리아(RHK),"판매지수 60,555",2021년 05월,SF
7,14,돌이킬 수 있는,문목하,아작,"판매지수 21,552",2018년 12월,Mystery
7,15,[예스리커버] 우리가 빛의 속도로 갈 수 없다면,김초엽,허블,"판매지수 53,538",2019년 06월,SF
7,16,달러구트 꿈 백화점 2,이미예,팩토리나인,"판매지수 40,743",2021년 07월,Fantasy
7,17,해리포터와 마법사의 돌 2,J.K. 롤링,문학수첩,"판매지수 30,108",2019년 11월,Fantasy
7,18,라플라스의 마녀,히가시노 게이고,현대문학,"판매지수 18,531",2016년 01월,Mystery
7,19,내일의 으뜸,김빵,다향,"판매지수 57,792",2024년 05월,Fantasy
7,20,십계,유키 하루오,블루홀6,"판매지수 6,036",2024년 07월,Mystery
7,21,히든 픽처스,제이슨 르쿨락,문학수첩,"판매지수 25,368",2024년 05월,Mystery
7,22,오렌지와 빵칼,청예,허블,"판매지수 10,533",2024년 07월,Mystery
7,23,셰이커,이희영,래빗홀,"판매지수 22,065",2024년 05월,Fantasy
7,24,인어 사냥,차인표,해결책,"판매지수 15,672",2022년 10월,Fantasy
7,25,마력의 태동,히가시노 게이고,현대문학,"판매지수 9,126",2019년 01월,Mystery
7,26,악의,히가시노 게이고,현대문학,"판매지수 30,816",2019년 07월,Mystery
7,27,활자잔혹극,루스 렌들,북스피어,"판매지수 7,092",2024년 06월,Mystery
7,28,해리포터와 비밀의 방 1,J.K. 롤링,문학수첩,"판매지수 19,068",2019년 11월,Fantasy
7,29,저주토끼,정보라,래빗홀,"판매지수 25,566",2023년 04월,SF
7,30,13.67,찬호께이,한스미디어,"판매지수 12,468",2023년 01월,Mystery
7,31,해리포터와 비밀의 방 2,J.K. 롤링,문학수첩,"판매지수 17,712",2019년 11월,Fantasy
7,32,"오늘 밤, 거짓말의 세계에서 잊을 수 없는 사랑을",이치조 미사키,모모,"판매지수 28,656",2023년 11월,Romance
7,33,메리골드 마음 사진관,윤정은,북로망스,"판매지수 58,089",2024년 01월,Fantasy
7,34,말하고 싶은 비밀,사쿠라 이이요,모모,"판매지수 37,827",2023년 12월,Romance
7,35,러브 어페어 1~4 세트,이유진,파란 (파란미디어),"판매지수 3,306",2024년 07월,Romance
7,36,그리고 아무도 없었다,애거사 크리스티,황금가지,"판매지수 24,378",2013년 12월,Mystery
7,37,잘못된 장소 잘못된 시간,질리언 매캘리스터,시옷북스,"판매지수 29,916",2023년 07월,Mystery
7,38,살육에 이르는 병,아비코 다케마루,검은숲,"판매지수 10,866",2016년 07월,Horror
7,39,걷는 망자,미쓰다 신조,리드비(READbie),"판매지수 5,136",2024년 07월,Mystery
7,40,수상한 한의원,배명은,텍스티(TXTY),"판매지수 35,157",2024년 01월,Fantasy
7,41,룬의 아이들 - 블러디드 7,전민희,엘릭시르,"판매지수 16,452",2024년 05월,Fantasy
7,42,당신을 기다리고 있어,김보영,새파란상상 (파란미디어),"판매지수 11,112",2020년 05월,SF
7,43,달의 아이,최윤석,포레스트북스,"판매지수 9,312",2023년 09월,Fantasy
7,44,전지적 독자 시점 PART 5 - 02,싱숑,비채,"판매지수 15,792",2023년 09월,Fantasy
7,45,광마회귀 1~4 세트,유진성,문학수첩,"판매지수 1,668",2024년 07월,Muhyop
7,46,전지적 독자 시점 PART 5 - 01,싱숑,비채,"판매지수 15,396",2023년 09월,Fantasy
7,47,미 비포 유,조조 모예스,다산책방,"판매지수 13,452",2024년 04월,Romance
7,48,남은 인생 10년,고사카 루카,모모,"판매지수 29,397",2024년 03월,Romance
7,49,전지적 독자 시점 PART 4 - 01,싱숑,비채,"판매지수 14,712",2023년 09월,Fantasy
7,50,전지적 독자 시점 PART 1 - 01,싱숑,비채,"판매지수 19,179",2022년 01월,Fantasy
7,51,전지적 독자 시점 PART 1 - 02,싱숑,비채,"판매지수 16,500",2022년 01월,Fantasy
7,52,전지적 독자 시점 PART 4 - 03,싱숑,비채,"판매지수 15,024",2023년 09월,Fantasy
7,53,전지적 독자 시점 PART 4 - 02,싱숑,비채,"판매지수 15,126",2023년 09월,Fantasy
7,54,마션,앤디 위어,알에이치코리아(RHK),"판매지수 13,500",2021년 05월,SF
7,55,전지적 독자 시점 PART 4 - 04,싱숑,비채,"판매지수 15,084",2023년 09월,Fantasy
7,56,용의자들,정해연,위즈덤하우스,"판매지수 8,340",2024년 05월,Mystery
7,57,방주,유키 하루오,블루홀6,"판매지수 11,517",2023년 02월,Mystery
7,58,전지적 독자 시점 PART 3 - 03,싱숑,비채,"판매지수 15,090",2023년 01월,Fantasy
7,59,전지적 독자 시점 PART 3 - 02,싱숑,비채,"판매지수 15,498",2023년 01월,Fantasy
7,60,해리포터와 아즈카반의 죄수 2,J.K. 롤링,문학수첩,"판매지수 13,218",2019년 11월,Fantasy
7,61,코너스톤 셜록 홈즈 전집,아서 코난 도일,코너스톤(도서),"판매지수 17,406",2016년 01월,Mystery
7,62,가면산장 살인사건,히가시노 게이고,재인,"판매지수 16,269",2014년 09월,Mystery
7,63,해리포터와 아즈카반의 죄수 1,J.K. 롤링,문학수첩,"판매지수 13,632",2019년 11월,Fantasy
7,64,이문열 삼국지 세트,이문열,알에이치코리아(RHK),"판매지수 14,082",2020년 03월,History
7,65,심판,베르나르 베르베르,열린책들,"판매지수 17,298",2020년 08월,SF
7,66,나와 너의 365일,유이하,모모,"판매지수 17,976",2023년 03월,Romance
7,67,전지적 독자 시점 PART 3 - 01,싱숑,비채,"판매지수 15,684",2023년 01월,Fantasy
7,68,전지적 독자 시점 PART 1 - 03,싱숑,비채,"판매지수 15,264",2022년 01월,Fantasy
7,69,첫사랑의 침공,권혁일,안전가옥,"판매지수 6,138",2024년 06월,SF
7,70,블랙 쇼맨과 운명의 바퀴,히가시노 게이고,알에이치코리아(RHK),"판매지수 24,054",2024년 03월,Mystery
7,71,재와 물거품,김청귤,안전가옥,"판매지수 18,366",2021년 05월,Fantasy
7,72,전지적 독자 시점 PART 2 - 02,싱숑,비채,"판매지수 15,576",2023년 01월,Fantasy
7,73,프리즈너,B. A. 패리스,모모,"판매지수 3,522",2024년 06월,Horror
7,74,이끼숲,천선란,자이언트북스,"판매지수 9,246",2023년 05월,SF
7,75,해리포터와 불의 잔 1,J.K. 롤링,문학수첩,"판매지수 12,006",2019년 11월,Fantasy
7,76,전지적 독자 시점 PART 2 - 01,싱숑,비채,"판매지수 15,270",2023년 01월,Fantasy
7,77,전지적 독자 시점 PART 1 - 04,싱숑,비채,"판매지수 14,394",2022년 01월,Fantasy
7,78,전지적 독자 시점 PART 1 - 05,싱숑,비채,"판매지수 13,602",2022년 01월,Fantasy
7,79,너의 췌장을 먹고 싶어 (일반판),스미노 요루,소미미디어,"판매지수 11,436",2017년 04월,Romance
7,80,게스트,B. A. 패리스,모모,"판매지수 3,054",2024년 06월,Horror
7,81,고백,미나토 가나에,비채,"판매지수 10,290",2018년 08월,Horror
7,82,전지적 독자 시점 PART 2 - 03,싱숑,비채,"판매지수 15,672",2023년 01월,Fantasy
7,83,전지적 독자 시점 PART 1 - 06,싱숑,비채,"판매지수 13,866",2022년 01월,Fantasy
7,84,전지적 독자 시점 PART 1 - 08,싱숑,비채,"판매지수 14,304",2022년 01월,Fantasy
7,85,해리포터와 불의 잔 3,J.K. 롤링,문학수첩,"판매지수 10,986",2019년 11월,Fantasy
7,86,해리포터와 불의 잔 2,J.K. 롤링,문학수첩,"판매지수 11,706",2019년 11월,Fantasy
7,87,[예스리커버] 셜록 홈즈 전집 세트,아서 코난 도일,문예춘추사,"판매지수 5,484",2022년 05월,Mystery
7,88,트로피컬 나이트,조예은,한겨레출판,"판매지수 20,289",2022년 08월,Mystery
7,89,해리 포터와 마법사의 돌 : 미나리마 에디션,J.K. 롤링,문학수첩,"판매지수 19,407",2020년 10월,Fantasy
7,90,너는 달밤에 빛나고,사노 테츠야,디앤씨미디어(D&C미디어),"판매지수 9,828",2018년 04월,Romance
7,91,네가 유성처럼 스러지는 모습을 지켜볼 운명이었다,미나토 쇼,필름,"판매지수 15,198",2024년 07월,Romance
7,92,해리포터와 불의 잔 4,J.K. 롤링,문학수첩,"판매지수 10,890",2019년 11월,Fantasy
7,93,전지적 독자 시점 PART 1 - 07,싱숑,비채,"판매지수 13,566",2022년 01월,Fantasy
7,94,추리소설가의 살인사건,히가시노 게이고,소미미디어,"판매지수 4,752",2024년 07월,Mystery
7,95,해리 포터와 아즈카반의 죄수 : 미나리마 에디션,J.K. 롤링,문학수첩,"판매지수 21,231",2023년 10월,Fantasy
7,96,해리포터 5~7부 세트,J.K. 롤링,문학수첩,"판매지수 12,558",2020년 02월,Fantasy
7,97,눈에 갇힌 외딴 산장에서,히가시노 게이고,재인,"판매지수 19,443",2023년 07월,Mystery
7,98,[예스리커버] 트로피컬 나이트,조예은,한겨레출판,"판매지수 10,269",2023년 08월,Mystery
7,99,"고양이 식당, 추억을 요리합니다",다카하시 유타,빈페이지,"판매지수 11,820",2023년 05월,Fantasy
7,100,해피엔딩에서 너를 기다릴게,산다 치에,알에이치코리아(RHK),"판매지수 13,239",2023년 01월,Romance
8,1,당신이 누군가를 죽였다,히가시노 게이고,북다,"판매지수 139,488",2024년 07월,Mystery
8,2,언젠가 우리가 같은 별을 바라본다면,차인표,해결책,"판매지수 361,692",2021년 12월,History
8,3,백설공주에게 죽음을 (특별판),넬레 노이하우스,북로드,"판매지수 39,837",2024년 05월,Mystery
8,4,세상의 마지막 기차역,무라세 다케시,모모,"판매지수 133,161",2022년 05월,Fantasy
8,5,네가 유성처럼 스러지는 모습을 지켜볼 운명이었다,미나토 쇼,필름,"판매지수 15,198",2024년 07월,Romance
8,6,아이가 없는 집,알렉스 안도릴,필름,"판매지수 43,044",2024년 06월,Mystery
8,7,데뷔 못 하면 죽는 병 걸림 3부 초판 한정 굿즈박스 세트,백덕수,위시북스,"판매지수 22,245",2024년 12월,Fantasy
8,8,지구 끝의 온실,김초엽,자이언트북스,"판매지수 57,006",2021년 08월,SF
8,9,천 개의 파랑,천선란,허블,"판매지수 55,245",2020년 08월,SF
8,10,프로젝트 헤일메리,앤디 위어,알에이치코리아(RHK),"판매지수 60,555",2021년 05월,SF
8,11,용의자 X의 헌신,히가시노 게이고,재인,"판매지수 48,414",2017년 08월,Mystery
8,12,삼체 1~3 세트,류츠신,자음과모음,"판매지수 112,236",2024년 06월,SF
8,13,"칵테일, 러브, 좀비",조예은,안전가옥,"판매지수 48,930",2020년 04월,Mystery
8,14,범도 1,방현석,문학동네,"판매지수 9,318",2023년 06월,History
8,15,[예스리커버] 우리가 빛의 속도로 갈 수 없다면,김초엽,허블,"판매지수 53,538",2019년 06월,SF
8,16,히든 픽처스,제이슨 르쿨락,문학수첩,"판매지수 25,368",2024년 05월,Mystery
8,17,인어 사냥,차인표,해결책,"판매지수 15,672",2022년 10월,Fantasy
8,18,달러구트 꿈 백화점,이미예,팩토리나인,"판매지수 59,394",2020년 07월,Fantasy
8,19,말하고 싶은 비밀,사쿠라 이이요,모모,"판매지수 37,827",2023년 12월,Romance
8,20,해리포터와 마법사의 돌 1,J.K. 롤링,문학수첩,"판매지수 35,988",2019년 11월,Fantasy
